c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,b1,b2,b3,b4,posture
25,52,43,41,53,55,0,29,37,47,43,30,31,0,0,37,40,46,53,34,30,0,21,32,22,23,29,36,38,30,12,99,94,93,91,1
25,52,43,41,53,55,0,29,37,47,43,30,30,0,0,37,40,46,53,34,31,0,20,32,22,23,29,37,39,30,13,99,95,93,92,1
25,52,43,41,53,56,0,29,37,47,43,30,31,0,0,36,40,46,53,34,31,0,20,32,22,24,30,38,39,30,13,99,95,93,92,1
25,52,43,41,53,56,0,29,37,48,43,30,30,0,0,36,39,46,53,34,31,0,20,32,22,24,30,38,39,30,13,99,95,93,92,1
25,52,43,41,53,55,0,29,37,47,43,30,30,0,0,36,39,46,53,34,31,0,20,31,22,23,30,38,39,30,13,99,95,93,92,1
25,52,43,41,53,55,0,29,37,47,42,30,30,0,0,35,39,46,53,34,32,0,20,32,22,24,30,39,39,30,13,99,95,93,92,1
26,52,43,41,53,56,0,29,37,47,43,30,30,0,0,36,39,46,53,33,31,0,20,32,22,24,30,39,39,30,13,99,95,93,92,1
25,52,43,41,53,56,0,29,37,47,42,30,30,0,0,36,39,46,53,34,31,0,20,32,22,24,30,39,39,30,13,99,95,93,92,1
26,52,43,40,53,55,0,30,37,47,43,30,30,0,0,36,39,46,53,34,31,0,20,31,22,24,31,39,39,30,13,99,95,93,92,1
25,52,43,41,54,56,0,30,38,48,43,30,31,0,0,36,39,46,53,34,31,0,20,31,22,24,31,40,40,30,13,99,95,93,92,1
26,53,43,41,54,56,0,30,38,47,43,30,30,0,0,35,39,46,53,34,31,0,20,32,22,24,30,39,39,30,13,99,95,94,93,1
26,52,43,41,54,56,0,30,37,47,42,30,30,0,0,36,39,46,53,34,31,0,20,32,22,24,30,40,39,30,13,99,95,93,93,1
25,52,43,41,54,56,0,29,37,49,42,30,30,0,0,36,40,46,53,35,31,0,20,32,22,24,30,40,39,30,13,99,95,93,92,1
25,52,43,41,54,56,0,29,36,47,42,30,30,0,0,36,40,46,53,34,31,0,20,32,22,24,31,40,40,30,13,99,95,93,92,1
25,51,43,41,55,56,0,29,37,47,42,30,30,0,0,36,40,46,53,35,31,0,20,32,22,24,30,41,40,30,13,99,95,93,92,1
25,52,43,41,54,56,0,30,37,47,42,30,30,0,0,36,39,46,53,35,31,0,20,32,22,24,31,41,40,31,13,99,95,93,92,1
